Step,AgentID,x,y,habitat_preference,alive
0,Organism000003,67,87,Forest,False
1,Organism000007,29,45,Grassland,False
2,Organism000009,67,6,Forest,False
3,Organism000001,66,57,Forest,False
3,Organism000005,78,13,Forest,False
4,Organism000004,22,85,Forest,False
5,Organism000014,1,87,Grassland,False
7,Organism000006,57,35,Grassland,False
7,Organism000013,28,68,Grassland,False
8,Organism000008,28,68,Grassland,False
10,Organism000002,49,54,Forest,False
12,Organism000010,64,5,Forest,False
13,Organism000000,3,88,Grassland,False
13,Organism000018,22,85,Forest,False
13,Organism000019,22,85,Forest,False
14,Organism000016,2,86,Grassland,False
17,Organism000015,28,68,Grassland,False
17,Organism000020,22,85,Forest,False
22,Organism000022,28,68,Grassland,False
24,Organism000011,28,68,Grassland,False
28,Organism000017,22,85,Forest,False
28,Organism000021,28,68,Grassland,False
30,Organism000025,22,85,Forest,False
31,Organism000012,22,85,Forest,False
38,Organism000024,28,68,Grassland,False
49,Organism000026,28,68,Grassland,False
60,Organism000027,28,68,Grassland,False
61,Organism000028,28,68,Grassland,False
68,Organism000033,28,68,Grassland,False
70,Organism000031,28,68,Grassland,False
71,Organism000030,28,68,Grassland,False
76,Organism000036,28,68,Grassland,False
77,Organism000029,28,68,Grassland,False
80,Organism000032,28,68,Grassland,False
83,Organism000037,28,68,Grassland,False
85,Organism000034,28,68,Grassland,False
87,Organism000023,28,68,Grassland,False
89,Organism000035,28,68,Grassland,False
93,Organism000040,28,68,Grassland,False
100,Organism000041,28,68,Grassland,False
106,Organism000042,28,68,Grassland,False
106,Organism000045,28,68,Grassland,False
107,Organism000038,28,68,Grassland,False
108,Organism000043,28,68,Grassland,False
114,Organism000039,28,68,Grassland,False
114,Organism000048,28,68,Grassland,False
117,Organism000051,28,68,Grassland,False
118,Organism000044,28,68,Grassland,False
119,Organism000055,28,68,Grassland,False
121,Organism000052,28,68,Grassland,False
124,Organism000047,28,68,Grassland,False
127,Organism000058,28,68,Grassland,False
128,Organism000050,28,68,Grassland,False
130,Organism000060,28,68,Grassland,False
133,Organism000049,28,68,Grassland,False
133,Organism000054,28,68,Grassland,False
134,Organism000057,28,68,Grassland,False
135,Organism000056,28,68,Grassland,False
135,Organism000064,28,68,Grassland,False
136,Organism000053,28,68,Grassland,False
136,Organism000067,28,68,Grassland,False
137,Organism000066,28,68,Grassland,False
137,Organism000069,28,68,Grassland,False
138,Organism000061,28,68,Grassland,False
138,Organism000063,28,68,Grassland,False
138,Organism000065,28,68,Grassland,False
140,Organism000062,28,68,Grassland,False
143,Organism000071,28,68,Grassland,False
145,Organism000068,28,68,Grassland,False
150,Organism000046,28,68,Grassland,False
150,Organism000059,28,68,Grassland,False
176,Organism000072,28,68,Grassland,False
181,Organism000075,28,68,Grassland,False
183,Organism000073,28,68,Grassland,False
187,Organism000070,28,68,Grassland,False
188,Organism000081,28,68,Grassland,False
191,Organism000079,28,68,Grassland,False
192,Organism000086,28,68,Grassland,False
193,Organism000076,28,68,Grassland,False
193,Organism000087,28,68,Grassland,False
194,Organism000077,28,68,Grassland,False
194,Organism000078,28,68,Grassland,False
198,Organism000084,28,68,Grassland,False
198,Organism000091,28,68,Grassland,False
199,Organism000094,28,68,Grassland,False
201,Organism000082,28,68,Grassland,False
202,Organism000085,28,68,Grassland,False
202,Organism000097,28,68,Grassland,False
204,Organism000088,28,68,Grassland,False
204,Organism000090,28,68,Grassland,False
205,Organism000074,28,68,Grassland,False
205,Organism000083,28,68,Grassland,False
205,Organism000095,28,68,Grassland,False
206,Organism000093,28,68,Grassland,False
210,Organism000098,28,68,Grassland,False
211,Organism000089,28,68,Grassland,False
211,Organism000092,28,68,Grassland,False
212,Organism000096,28,68,Grassland,False
215,Organism000099,28,68,Grassland,False
216,Organism000080,28,68,Grassland,False
235,Organism000100,28,68,Grassland,False
